Name KA;Bundesland;Rechtswert;Hochwert;Koordinatensystem;Ausbaugröße;Jahresabwassermenge [m^3/a];Abwassereinigung;pl_n_tech;pl_p_tech;pl_uv;pl_chlorination;pl_ozonation;pl_sand_filtration;pl_micro_filtration;pl_other;pl_other_comment;N-Ablauffracht [kg/a];P-Ablauffracht [kg/a];Einleitgewässer;Flusseinzugsgebiet;Flussgebietseinheit;lat;long
Burg;BB;33442166;5741784;ETRS89_UTM33;12000;542300;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);760;500;Südumfluter;Elbe;Elbe;51.82389005;14.16084137
Wriezen;BB;33442406;5841914;ETRS89_UTM33;36000;1026696;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1113;1258;Friedländer Strom;Oder;Oder;52.7240397;14.14722073
Trebatsch;BB;33444251;5772580;ETRS89_UTM33;8000;98000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);122;85;Spree;Elbe;Elbe;52.10096154;14.18609174
Drebkau;BB;33445194;5724100;ETRS89_UTM33;6000;150800;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);1350;960;Steinitzer Wasser;Elbe;Elbe;51.66520753;14.20755896
Altfriedland;BB;33445938;5834434;ETRS89_UTM33;22500;810660;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);482;271;Friedländer Strom;Oder;Oder;52.65716631;14.20074119
Friedland;BB;33448132;5773616;ETRS89_UTM33;7500;151410;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);117;1441;Grundwasser;Elbe;Elbe;52.1106527;14.24258911
Beeskow;BB;33449255;5783044;ETRS89_UTM33;15500;617000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);8268;1095;Spree;Elbe;Elbe;52.19551432;14.25757775
Schwedt;BB;33450020;5878637;ETRS89_UTM33;65000;1999000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);13777;339;Schwedter Landgraben/HoFrieWa;Oder;Oder;53.05489401;14.25430475
Cottbus;BB;33455235;5736034;ETRS89_UTM33;300000;6241000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);43100;2000;Spree;Elbe;Elbe;51.77339363;14.35119705
Spremberg-Nord;BB;33456490;5714326;ETRS89_UTM33;50000;1499822;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);8802;1250;Spree;Elbe;Elbe;51.57831784;14.37209018
Seelow;BB;33459033;5821602;ETRS89_UTM33;17500;409000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);491;573;Seelake;Oder;Oder;52.54296003;14.39591449
Peitz;BB;33459623;5744501;ETRS89_UTM33;12000;499000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);949;584;Hammergraben;Elbe;Elbe;51.8498523;14.41380409
Gartz;BB;33460106;5896591;ETRS89_UTM33;6000;125000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);954;237;West-Oder;Oder;Oder;53.21712568;14.40254182
Lebus;BB;33468831;5810040;ETRS89_UTM33;4960;105000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);1612;599;Oder;Oder;Oder;52.43966767;14.54146896
Frankfurt (Oder);BB;33469194;5802101;ETRS89_UTM33;120000;5138200;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);19011;1490;Oder. Strom-km 58;Oder;Oder;52.36831618;14.54753967
Manschnow;BB;33471229;5823360;ETRS89_UTM33;15000;409000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);2577;614;Manschnower Alte Oder;Oder;Oder;52.55954527;14.57559363
Döbern;BB;33472250;5719172;ETRS89_UTM33;6000;161000;weitergehende Beh.;1;0;0;0;0;0;0;0;(null);356;604;Malxe;Oder;Oder;51.62288628;14.59913776
Forst;BB;33475838;5734523;ETRS89_UTM33;30000;877200;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);4842;1070;Lausitzer Neiße;Oder;Oder;51.76107669;14.64990382
Eisenhüttenstadt;BB;33476132;5774688;ETRS89_UTM33;99000;2133000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);18488;874;Oder. km 55;Oder;Oder;52.12220811;14.65137548
Haaren;NW;2503041;5662384;GAUSS_KRUEGER_3GS;17370;1041429;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3720;350;Kitschbach;Maas;Maas;51.09651297;6.04278347
Aachen-Horbach;NW;2504220;5633895;GAUSS_KRUEGER_3GS;24400;2191070;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);41421;765;Amstelbach;Maas;Maas;50.84041654;6.059285
Kirchhoven;NW;2504552;5661087;GAUSS_KRUEGER_3GS;40000;5550676;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);86927;1709;Flutgraben;Maas;Maas;51.08484443;6.06433709
Herzogenrath-Worm;NW;2505789;5638686;GAUSS_KRUEGER_3GS;50000;2656361;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);11164;256;Wurm;Maas;Maas;50.88347044;6.08163528
Steinbusch;NW;2506167;5635045;GAUSS_KRUEGER_3GS;32000;2087412;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);30844;401;Wurm;Maas;Maas;50.85073676;6.08694567
Frelenberg;NW;2507336;5645993;GAUSS_KRUEGER_3GS;53000;2723935;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);16034;1108;Wurm;Maas;Maas;50.94913641;6.10376465
Aachen-Soers;NW;2507387;5630352;GAUSS_KRUEGER_3GS;458000;27180000;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);169652;3145;Wurm;Maas;Maas;50.80853583;6.10417566
Alsdorf-Broichtal;NW;2509419;5636677;GAUSS_KRUEGER_3GS;30000;1078856;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);11772;232;Broicher Bach;Maas;Maas;50.86536343;6.13316608
Wassenberg;NW;2509954;5662469;GAUSS_KRUEGER_3GS;25000;1504090;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);14579;152;Baaler Bach;Maas;Maas;51.09719861;6.14147067
Goch;NW;2510354;5728606;GAUSS_KRUEGER_3GS;121000;2957152;weitergehende Beh.;1;1;0;0;0;0;0;0;(null);3813;386;Niers;Maas;Maas;51.69165441;6.14910985
